id,salary,age,name,gender,company,email,productCode,occupation,smoker,term,premium,sumassured,paymentType,policyStatus
25,2115,59,Dejesus Maynard,male,FANFARE,dejesusmaynard@fanfare.com,BBB,AB,Yes,39,241,137774,DD,1
26,3729,43,Guzman Tanner,male,ZYTRAX,guzmantanner@zytrax.com,CCC,AA,No,18,295,201190,DD,0
27,2175,55,Alexander Thompson,male,SURETECH,alexanderthompson@suretech.com,DDDD,AA,No,18,156,278534,DD,1
28,1439,21,Maricela Taylor,female,TWIGGERY,maricelataylor@twiggery.com,BBB,AD,Yes,28,233,202265,DD,1
29,1422,44,Macias Bradshaw,male,ISOTERNIA,maciasbradshaw@isoternia.com,AAA,AC,No,45,164,80072,Card,0
30,2578,22,Nelda Hardy,female,BLEEKO,neldahardy@bleeko.com,DDDD,AB,Yes,41,75,155968,DD,0
31,1942,26,Chris Mcintosh,female,SNOWPOKE,chrismcintosh@snowpoke.com,BBB,AC,Yes,18,154,199235,DD,1
32,1456,22,Janell Norris,female,KONGLE,janellnorris@kongle.com,CCC,AA,No,56,20,80103,DD,0
33,1346,37,Ramona Henderson,female,AUSTECH,ramonahenderson@austech.com,BBB,AC,No,56,25,231190,DD,0
34,3974,43,Ellen Huber,female,QIAO,ellenhuber@qiao.com,DDDD,AA,Yes,18,278,269495,Card,0
35,3231,60,Callahan Fitzpatrick,male,ROCKLOGIC,callahanfitzpatrick@rocklogic.com,CCC,AA,No,26,279,49475,Card,1
36,1791,54,Suzette Mckay,female,ENTOGROK,suzettemckay@entogrok.com,AAA,AD,Yes,13,96,286362,Card,1
37,2875,22,Juliet Marshall,female,CHILLIUM,julietmarshall@chillium.com,BBB,AB,No,14,147,107586,Card,1
38,1556,49,Harriet Cardenas,female,FISHLAND,harrietcardenas@fishland.com,CCC,AB,Yes,21,252,23870,Card,1
39,1451,35,Manuela Dalton,female,ZOLAVO,manueladalton@zolavo.com,CCC,AB,Yes,7,155,148813,Card,1
40,1847,28,Lang Montoya,male,MEDESIGN,langmontoya@medesign.com,DDDD,AA,Yes,56,42,200138,DD,1
41,2680,38,Camacho Steele,male,PUSHCART,camachosteele@pushcart.com,CCC,AD,No,26,69,180271,DD,1
42,3026,26,Tillman Frye,male,ACCUFARM,tillmanfrye@accufarm.com,CCC,AA,No,57,170,241248,DD,1
43,2207,53,June Acevedo,female,NETERIA,juneacevedo@neteria.com,BBB,AA,Yes,37,72,65382,DD,0
44,1116,45,Charmaine Mejia,female,SUREPLEX,charmainemejia@sureplex.com,CCC,AD,No,48,20,214599,DD,0
45,1524,27,Valenzuela Reeves,male,LINGOAGE,valenzuelareeves@lingoage.com,BBB,AC,No,27,165,273384,DD,1
46,2427,53,Moss William,male,QUINTITY,mosswilliam@quintity.com,BBB,AC,Yes,16,30,171367,DD,0
47,3977,44,Sargent Bentley,male,ADORNICA,sargentbentley@adornica.com,AAA,AA,Yes,16,290,60079,Card,0
48,3814,28,Jaclyn Carpenter,female,MEGALL,jaclyncarpenter@megall.com,AAA,AB,No,8,35,209046,Card,0
49,3840,44,Ramos Mcfadden,male,ZORROMOP,ramosmcfadden@zorromop.com,AAA,AB,Yes,35,42,173948,DD,1
50,2150,49,Logan Roberson,male,WAAB,loganroberson@waab.com,AAA,AD,Yes,45,299,299590,DD,1
51,3245,53,Dawson Rosales,male,JASPER,dawsonrosales@jasper.com,AAA,AC,Yes,5,98,209840,DD,0
52,1708,29,Amalia Meyers,female,XIIX,amaliameyers@xiix.com,BBB,AA,No,27,58,287674,DD,1
53,3427,43,Marla Winters,female,COMBOGENE,marlawinters@combogene.com,BBB,AA,Yes,6,95,120027,Card,1
54,3806,39,Lillie England,female,XYMONK,lillieengland@xymonk.com,DDDD,AA,No,14,50,39418,Card,0
55,1255,45,Clark Mendez,male,MIRACULA,clarkmendez@miracula.com,CCC,AD,Yes,40,292,87666,DD,1
56,2381,24,Sanchez Curry,male,ANACHO,sanchezcurry@anacho.com,DDDD,AA,No,30,63,214075,DD,1
57,1846,29,Carroll Walters,male,COMFIRM,carrollwalters@comfirm.com,AAA,AA,Yes,21,148,232766,Card,0
58,2248,43,Bradford Santos,male,RODEOCEAN,bradfordsantos@rodeocean.com,CCC,AD,No,28,208,220834,Card,1
59,2570,21,Harmon Bonner,male,BULLJUICE,harmonbonner@bulljuice.com,AAA,AB,Yes,40,138,81838,Card,1
60,3771,33,Susan Riggs,female,KYAGURU,susanriggs@kyaguru.com,DDDD,AA,No,25,261,128265,DD,0
61,2419,47,Lewis Goodwin,male,ZIPAK,lewisgoodwin@zipak.com,CCC,AA,Yes,7,239,117814,DD,1
62,3407,33,Wendi Frank,female,EMERGENT,wendifrank@emergent.com,AAA,AD,Yes,23,40,295921,Card,0
63,2371,48,Winnie Dotson,female,NURPLEX,winniedotson@nurplex.com,DDDD,AB,Yes,17,154,65216,Card,1
64,3868,25,Sue Dawson,female,NIPAZ,suedawson@nipaz.com,AAA,AC,No,19,238,227652,Card,0
65,2876,23,Adams Porter,male,CINCYR,adamsporter@cincyr.com,BBB,AA,Yes,18,156,23795,Card,0
66,2730,60,Ann Williams,female,ZILLACON,annwilliams@zillacon.com,CCC,AB,Yes,36,31,237036,DD,0
67,2109,29,Case Bishop,male,ISOTRONIC,casebishop@isotronic.com,BBB,AB,No,25,274,19824,DD,1
68,1161,46,Coffey Valdez,male,ZOXY,coffeyvaldez@zoxy.com,CCC,AD,Yes,24,29,44560,DD,1
69,3315,25,Burt Martinez,male,TINGLES,burtmartinez@tingles.com,CCC,AD,Yes,11,290,275649,Card,0
70,2051,59,Delgado Hansen,male,CYTRAK,delgadohansen@cytrak.com,AAA,AB,Yes,47,243,163009,Card,1
71,3405,47,Angela Duncan,female,OZEAN,angeladuncan@ozean.com,CCC,AC,No,33,129,295769,DD,0
72,1147,42,Amparo Webster,female,BULLZONE,amparowebster@bullzone.com,BBB,AC,No,8,233,205830,DD,0
73,2123,57,Debbie Wheeler,female,UBERLUX,debbiewheeler@uberlux.com,CCC,AA,No,20,80,125154,Card,0
74,1847,35,Everett Rutledge,male,SULTRAXIN,everettrutledge@sultraxin.com,CCC,AA,No,45,259,73475,Card,1
75,3542,59,Ewing Hewitt,male,CENTREXIN,ewinghewitt@centrexin.com,AAA,AA,Yes,20,279,149296,Card,1
76,3585,40,Julianne Abbott,female,HOMETOWN,julianneabbott@hometown.com,BBB,AB,No,15,229,183783,DD,1
77,3395,60,Vargas Bartlett,male,BARKARAMA,vargasbartlett@barkarama.com,CCC,AC,No,33,236,237131,DD,1
78,2707,31,Mcdonald Burton,male,FIREWAX,mcdonaldburton@firewax.com,CCC,AC,No,6,296,112139,Card,0
79,3163,21,Ruth King,female,ZENTHALL,ruthking@zenthall.com,AAA,AA,Yes,29,297,146902,DD,1
80,1249,41,Blackburn Leach,male,KENGEN,blackburnleach@kengen.com,DDDD,AB,No,35,25,266882,Card,1
81,2292,32,Mattie Nash,female,PROXSOFT,mattienash@proxsoft.com,DDDD,AA,No,11,172,95367,Card,0
82,2266,29,Petra Cunningham,female,BOINK,petracunningham@boink.com,DDDD,AA,Yes,26,196,232934,Card,0
83,2474,58,Silva Savage,male,ACRODANCE,silvasavage@acrodance.com,DDDD,AD,No,57,136,141340,DD,1
84,2014,48,Albert Townsend,male,SHADEASE,alberttownsend@shadease.com,BBB,AB,Yes,28,153,288587,Card,1
85,3986,35,Margery Whitehead,female,BOLAX,margerywhitehead@bolax.com,DDDD,AA,Yes,59,88,206170,Card,0
86,3692,56,Sloan Gilliam,male,ECOSYS,sloangilliam@ecosys.com,DDDD,AD,No,51,215,259207,DD,1
87,2609,48,Todd Whitney,male,SNIPS,toddwhitney@snips.com,BBB,AA,No,10,153,111389,DD,1
88,1008,41,Fields Elliott,male,VELITY,fieldselliott@velity.com,AAA,AA,No,22,126,228819,Card,1
89,1515,25,Donovan James,male,PETICULAR,donovanjames@peticular.com,AAA,AB,No,9,169,280775,DD,0
90,3207,30,Cote May,male,ACCIDENCY,cotemay@accidency.com,CCC,AD,Yes,6,54,273416,DD,0
91,3341,58,Vasquez Logan,male,ZUVY,vasquezlogan@zuvy.com,CCC,AC,No,8,69,125589,DD,1
92,3191,46,Heather Hartman,female,EWAVES,heatherhartman@ewaves.com,AAA,AB,Yes,58,118,220739,Card,0
93,2008,36,Bridgette Cummings,female,GREEKER,bridgettecummings@greeker.com,AAA,AB,No,40,55,202973,DD,1
94,1914,34,Kathrine Holt,female,MALATHION,kathrineholt@malathion.com,CCC,AC,Yes,27,60,299135,Card,1
95,3485,54,Cunningham Boyle,male,AVIT,cunninghamboyle@avit.com,DDDD,AA,No,21,148,133446,Card,1
96,3488,24,Trevino White,male,COMCUR,trevinowhite@comcur.com,AAA,AC,Yes,11,56,285878,Card,0
97,1232,56,Howell Mcclure,male,MAINELAND,howellmcclure@maineland.com,AAA,AD,No,58,108,39113,DD,1
98,1747,24,Johnson Holland,male,NETBOOK,johnsonholland@netbook.com,BBB,AB,Yes,53,60,51758,Card,0
99,2629,48,Murray Phelps,male,DUFLEX,murrayphelps@duflex.com,CCC,AA,No,48,289,30601,Card,1
100,2530,52,Burton Hampton,male,WAZZU,burtonhampton@wazzu.com,DDDD,AC,Yes,49,71,254891,DD,1
101,2721,56,Eliza Conley,female,PORTICA,elizaconley@portica.com,DDDD,AD,No,50,53,69250,Card,0
102,1962,34,Desiree Thomas,female,NETILITY,desireethomas@netility.com,DDDD,AC,Yes,29,135,234418,Card,1
103,2111,59,Eve Acosta,female,ELITA,eveacosta@elita.com,DDDD,AB,Yes,58,64,31974,Card,1
104,2729,31,Boyer Horn,male,GEEKWAGON,boyerhorn@geekwagon.com,AAA,AD,Yes,27,118,51052,Card,0
105,2180,20,Robinson Callahan,male,FILODYNE,robinsoncallahan@filodyne.com,BBB,AC,No,59,144,280086,Card,0
106,1483,57,Blanchard Trujillo,male,ANIVET,blanchardtrujillo@anivet.com,AAA,AC,No,33,296,276269,DD,0
107,1409,23,Brooks Richardson,male,OPTYK,brooksrichardson@optyk.com,BBB,AA,No,53,114,135772,DD,1
108,3567,44,Alice Castro,female,BIOTICA,alicecastro@biotica.com,CCC,AA,No,45,68,206192,DD,0
109,2517,38,Monica Harrington,female,FLUM,monicaharrington@flum.com,BBB,AC,Yes,10,200,28675,DD,0
110,3240,58,Tracey Cross,female,HOMELUX,traceycross@homelux.com,BBB,AC,Yes,32,218,286662,DD,0
111,1354,50,Paul Koch,male,ZILLANET,paulkoch@zillanet.com,AAA,AA,No,44,28,180290,DD,0
112,3583,39,Collins Daniel,male,AQUACINE,collinsdaniel@aquacine.com,DDDD,AB,No,25,247,44266,DD,1
113,1788,50,Kimberley Garrett,female,MICRONAUT,kimberleygarrett@micronaut.com,CCC,AB,No,20,125,252658,Card,1
114,2399,55,Paulette Pearson,female,PHOLIO,paulettepearson@pholio.com,CCC,AD,No,50,256,23050,Card,1
115,3554,20,Scott Ramsey,male,MANTRIX,scottramsey@mantrix.com,CCC,AC,Yes,43,139,247550,Card,1
116,1949,34,Laura Duke,female,CONJURICA,lauraduke@conjurica.com,CCC,AD,Yes,22,44,213310,Card,1
117,1915,51,Gilbert Michael,male,FURNAFIX,gilbertmichael@furnafix.com,CCC,AA,No,22,196,63129,DD,0
118,2039,27,Norris Le,male,BUZZMAKER,norrisle@buzzmaker.com,DDDD,AC,No,11,155,174102,Card,1
119,2375,51,Reyna Robles,female,GLASSTEP,reynarobles@glasstep.com,DDDD,AB,Yes,44,159,117498,Card,1
120,2442,58,Cline Mckenzie,male,ZILLIDIUM,clinemckenzie@zillidium.com,BBB,AA,No,53,127,251444,Card,1
121,2987,45,Michelle Sweeney,female,WEBIOTIC,michellesweeney@webiotic.com,DDDD,AB,Yes,37,109,171222,DD,0
122,3801,49,Martina Berg,female,PASTURIA,martinaberg@pasturia.com,AAA,AB,No,19,119,222331,Card,0
123,3318,47,Roth Preston,male,TRIPSCH,rothpreston@tripsch.com,BBB,AB,Yes,46,209,105769,DD,1
124,3931,55,Tasha Bradley,female,LUMBREX,tashabradley@lumbrex.com,AAA,AA,No,41,283,221069,Card,1
125,3815,52,Cassie Nielsen,female,EARTHMARK,cassienielsen@earthmark.com,BBB,AB,Yes,23,185,157653,Card,1
126,1071,25,Cooper Salinas,male,DRAGBOT,coopersalinas@dragbot.com,AAA,AA,Yes,45,125,8491,Card,0
127,1093,37,Whitaker Hall,male,PARLEYNET,whitakerhall@parleynet.com,BBB,AA,No,59,90,203594,Card,0
128,2979,56,Angeline Bennett,female,CAXT,angelinebennett@caxt.com,CCC,AA,Yes,23,137,123336,DD,0
129,1574,24,Etta Head,female,MARQET,ettahead@marqet.com,BBB,AD,No,10,90,272030,DD,0
130,1657,53,Snider Roy,male,DOGNOST,sniderroy@dognost.com,CCC,AD,No,21,296,266993,Card,0
131,2069,36,Christine Mckee,female,PERMADYNE,christinemckee@permadyne.com,AAA,AA,Yes,8,214,269729,Card,0
132,2867,37,Foley Benton,male,XYQAG,foleybenton@xyqag.com,DDDD,AA,Yes,20,28,264494,DD,1
133,1897,56,Stuart Mueller,male,TOYLETRY,stuartmueller@toyletry.com,AAA,AB,No,51,217,121115,DD,1
134,1504,49,Judy Hawkins,female,INTERLOO,judyhawkins@interloo.com,CCC,AC,Yes,40,172,135123,Card,0
135,1843,36,Mcknight Anthony,male,VINCH,mcknightanthony@vinch.com,AAA,AD,Yes,59,39,121691,Card,1
136,1547,26,Moreno Frederick,male,ENVIRE,morenofrederick@envire.com,BBB,AA,No,34,63,14469,Card,1
137,3977,42,Moran Hickman,male,SCHOOLIO,moranhickman@schoolio.com,DDDD,AD,No,9,263,294949,Card,0
138,2713,51,Fitzgerald Dillon,male,GEEKOLA,fitzgeralddillon@geekola.com,DDDD,AD,No,24,81,145988,Card,0
139,3101,60,Mae Valencia,female,SPACEWAX,maevalencia@spacewax.com,BBB,AD,Yes,7,218,9966,Card,0
140,2492,56,Daphne Smith,female,EXOZENT,daphnesmith@exozent.com,DDDD,AD,Yes,7,84,88473,Card,0
141,3003,57,Tameka Rogers,female,SPRINGBEE,tamekarogers@springbee.com,BBB,AC,Yes,37,276,95411,DD,0
142,3899,41,Valentine Noel,male,MEDCOM,valentinenoel@medcom.com,CCC,AD,No,8,294,123001,DD,0
143,2582,57,Tamara Landry,female,GOLOGY,tamaralandry@gology.com,CCC,AC,No,18,285,6976,DD,1
144,2215,55,Amelia Cherry,female,MANGLO,ameliacherry@manglo.com,BBB,AA,Yes,47,103,236040,DD,0
145,1595,59,Zamora Hooper,male,OVOLO,zamorahooper@ovolo.com,AAA,AA,Yes,16,256,82846,Card,1
146,1095,31,Ballard Kline,male,RODEMCO,ballardkline@rodemco.com,CCC,AC,No,25,173,51251,Card,1
147,2241,47,Lawson Shields,male,FROLIX,lawsonshields@frolix.com,CCC,AA,No,34,24,107842,Card,0
148,2448,60,Greer Russo,male,EQUITOX,greerrusso@equitox.com,CCC,AA,Yes,55,293,27021,DD,0
149,2665,41,Georgina Irwin,female,GEOSTELE,georginairwin@geostele.com,AAA,AC,Yes,11,215,26503,Card,1
150,2730,40,Hansen Reynolds,male,VOLAX,hansenreynolds@volax.com,CCC,AD,Yes,8,32,271082,DD,1
151,1206,49,Hyde Roberts,male,UNIA,hyderoberts@unia.com,CCC,AD,Yes,35,108,252160,Card,0
152,1901,52,Weber Riddle,male,APEX,weberriddle@apex.com,AAA,AB,No,47,212,147832,DD,1
153,2048,21,Christina Fields,female,LYRIA,christinafields@lyria.com,AAA,AB,Yes,32,66,219320,Card,0
154,3718,54,Young Torres,female,ACLIMA,youngtorres@aclima.com,AAA,AD,No,30,32,21092,DD,1
155,1453,34,Hubbard Rivera,male,RECOGNIA,hubbardrivera@recognia.com,AAA,AA,No,9,177,96211,Card,1
156,2608,35,Phelps Stark,male,ORBAXTER,phelpsstark@orbaxter.com,CCC,AB,No,46,57,138829,DD,0
157,1469,30,Deirdre Fuentes,female,BIOSPAN,deirdrefuentes@biospan.com,BBB,AD,Yes,27,93,149248,Card,0
158,3141,25,Lamb Richards,male,JUMPSTACK,lambrichards@jumpstack.com,AAA,AC,No,51,71,190674,Card,1
159,1059,54,Welch Wiggins,male,HELIXO,welchwiggins@helixo.com,BBB,AC,Yes,33,280,24024,Card,0
160,3851,26,Elaine Massey,female,OPTICALL,elainemassey@opticall.com,AAA,AA,Yes,9,57,36511,Card,1
161,2494,27,Lucy Gomez,female,MOLTONIC,lucygomez@moltonic.com,AAA,AD,No,40,225,235644,DD,1
162,1302,50,Walker Kim,male,ZAGGLE,walkerkim@zaggle.com,DDDD,AB,Yes,49,29,32502,Card,1
163,2490,25,Preston Morgan,male,PAPRIKUT,prestonmorgan@paprikut.com,AAA,AA,No,53,258,171952,DD,1
164,2197,58,Mosley Blackburn,male,ENQUILITY,mosleyblackburn@enquility.com,BBB,AB,Yes,51,25,81631,DD,0
165,3090,60,Estela Nguyen,female,FUELWORKS,estelanguyen@fuelworks.com,BBB,AA,No,10,36,158547,DD,1
166,3831,56,Beatrice Johnson,female,JAMNATION,beatricejohnson@jamnation.com,AAA,AC,Yes,56,96,141020,DD,0
167,2945,24,Lucinda Sheppard,female,CONFERIA,lucindasheppard@conferia.com,AAA,AD,Yes,56,70,50489,DD,1
168,1990,58,Ernestine Cruz,female,ZILIDIUM,ernestinecruz@zilidium.com,DDDD,AB,No,52,48,173693,DD,0
169,3762,37,Denise Howell,female,QUIZKA,denisehowell@quizka.com,BBB,AD,Yes,22,227,140056,DD,1
170,3120,40,Wood George,male,ICOLOGY,woodgeorge@icology.com,DDDD,AC,Yes,26,178,97053,DD,1
171,3853,56,Maynard Hines,male,TASMANIA,maynardhines@tasmania.com,DDDD,AA,Yes,26,100,66646,Card,0
172,3070,49,Violet Decker,female,JUNIPOOR,violetdecker@junipoor.com,AAA,AC,No,13,291,154107,DD,0
173,2835,25,Hillary English,female,KLUGGER,hillaryenglish@klugger.com,DDDD,AC,Yes,48,256,168065,DD,1
174,3434,21,Dillon Hudson,male,IDEGO,dillonhudson@idego.com,CCC,AB,No,45,94,214850,Card,0
175,1646,36,Mathews Parrish,male,COREPAN,mathewsparrish@corepan.com,BBB,AC,Yes,38,298,283339,Card,0
176,1528,25,Benton Hodges,male,YOGASM,bentonhodges@yogasm.com,CCC,AA,Yes,10,140,209354,Card,0
177,2997,46,Amanda Stone,female,DANJA,amandastone@danja.com,DDDD,AA,Yes,21,57,198410,Card,0
178,1842,52,Kramer Dixon,male,CORPORANA,kramerdixon@corporana.com,AAA,AC,No,28,80,192834,DD,1
179,3526,22,Hardin Oneill,male,BUGSALL,hardinoneill@bugsall.com,CCC,AC,No,5,266,20111,Card,1
180,3229,47,Pugh Berger,male,ZYTREX,pughberger@zytrex.com,AAA,AD,Yes,33,26,62536,DD,1
181,2276,60,Cook Stanton,male,BLURRYBUS,cookstanton@blurrybus.com,AAA,AC,Yes,42,272,52955,DD,1
182,3962,50,Shirley Price,female,ZYTRAC,shirleyprice@zytrac.com,DDDD,AA,No,21,249,296712,Card,0
183,1271,38,Brandi Joseph,female,DIGIFAD,brandijoseph@digifad.com,CCC,AC,Yes,38,291,100884,DD,1
184,2136,60,Mallory Benson,female,PROWASTE,mallorybenson@prowaste.com,CCC,AC,No,53,208,220922,Card,1
185,1984,53,Hunt Erickson,male,TEMORAK,hunterickson@temorak.com,BBB,AD,Yes,41,108,271235,DD,0
186,1713,25,Bailey Hardin,male,EYEWAX,baileyhardin@eyewax.com,CCC,AC,No,47,149,129438,Card,1
187,1722,49,Patsy Pollard,female,VIAGREAT,patsypollard@viagreat.com,DDDD,AA,No,30,214,65563,Card,0
188,2187,24,Carr Becker,male,MUSANPOLY,carrbecker@musanpoly.com,BBB,AB,Yes,5,209,186364,DD,1
189,2701,45,Conley Wallace,male,ONTAGENE,conleywallace@ontagene.com,BBB,AC,No,32,219,111954,Card,1
190,3190,50,Prince Justice,male,QUORDATE,princejustice@quordate.com,AAA,AD,No,19,65,268859,DD,0
191,2344,24,Grace Schwartz,female,APEXIA,graceschwartz@apexia.com,DDDD,AB,No,50,104,70293,Card,1
192,2695,46,Hannah Wong,female,HAWKSTER,hannahwong@hawkster.com,AAA,AB,Yes,25,17,248055,DD,1
193,2260,31,Hopper Vance,male,SOLGAN,hoppervance@solgan.com,DDDD,AA,Yes,58,87,153548,Card,0
194,3896,30,Imogene Barr,female,SLOFAST,imogenebarr@slofast.com,AAA,AC,Yes,12,84,237401,Card,1
195,3806,30,Koch Washington,male,COMSTRUCT,kochwashington@comstruct.com,DDDD,AD,Yes,48,66,156882,Card,0
196,1108,21,Gordon Moody,male,REMOLD,gordonmoody@remold.com,BBB,AC,Yes,19,283,220005,Card,1
197,3125,33,Kane Juarez,male,PROVIDCO,kanejuarez@providco.com,AAA,AD,No,13,276,49408,DD,0
198,3238,54,Celia Huffman,female,SONIQUE,celiahuffman@sonique.com,BBB,AC,No,5,52,290261,Card,1
199,3776,37,Long Eaton,male,ENERVATE,longeaton@enervate.com,AAA,AD,No,14,51,267614,DD,1
200,1774,25,Sally Pruitt,female,CENTURIA,sallypruitt@centuria.com,BBB,AB,No,34,22,11102,DD,1
201,1970,21,Wagner Todd,male,DOGSPA,wagnertodd@dogspa.com,AAA,AC,Yes,55,111,175834,Card,1
202,3665,46,Hays Dorsey,male,BITREX,haysdorsey@bitrex.com,DDDD,AB,No,6,125,67050,Card,1
203,3941,41,Janette Tran,female,GAZAK,janettetran@gazak.com,DDDD,AC,Yes,54,88,133779,DD,1
204,1964,55,Shepherd Brock,male,ZIDANT,shepherdbrock@zidant.com,AAA,AA,No,10,94,190672,DD,1
205,3975,44,Kerri Sutton,female,EVENTEX,kerrisutton@eventex.com,DDDD,AA,Yes,24,121,73876,Card,1
206,1030,57,Hewitt Lester,male,KONNECT,hewittlester@konnect.com,BBB,AB,No,37,93,126363,DD,1
207,3088,42,Gay Davis,male,NETUR,gaydavis@netur.com,AAA,AA,No,6,228,150531,Card,0
208,3228,43,Katie Peck,female,SHOPABOUT,katiepeck@shopabout.com,AAA,AA,Yes,20,216,141486,DD,1
209,2196,25,Hobbs Larsen,male,UNCORP,hobbslarsen@uncorp.com,AAA,AD,Yes,45,200,108672,DD,0
210,1442,44,Fischer Barrett,male,ZENTURY,fischerbarrett@zentury.com,AAA,AC,Yes,7,51,161848,Card,1
211,1824,24,Huber Douglas,male,GEOFORMA,huberdouglas@geoforma.com,DDDD,AB,Yes,31,53,191569,DD,0
212,3570,34,Myra Simpson,female,URBANSHEE,myrasimpson@urbanshee.com,AAA,AD,No,50,66,31113,DD,0
213,3656,44,Donaldson Sellers,male,ZILLAN,donaldsonsellers@zillan.com,DDDD,AD,Yes,40,70,150994,Card,0
214,2461,51,Frederick Finley,male,COFINE,frederickfinley@cofine.com,BBB,AC,Yes,25,208,227806,DD,0
215,1051,39,Booker Petty,male,APPLIDECK,bookerpetty@applideck.com,CCC,AC,Yes,33,193,145928,Card,0
216,2001,53,Chelsea Dickson,female,QNEKT,chelseadickson@qnekt.com,DDDD,AB,Yes,27,290,217131,DD,1
217,3898,37,Agnes Hoffman,female,QUONATA,agneshoffman@quonata.com,DDDD,AD,Yes,14,166,27921,Card,0
218,1109,51,Baker House,male,JOVIOLD,bakerhouse@joviold.com,DDDD,AB,Yes,20,116,176154,Card,0
219,1366,37,Linda Ewing,female,IMAGINART,lindaewing@imaginart.com,BBB,AA,Yes,22,287,176316,DD,0
220,2976,35,Carrillo Golden,male,AVENETRO,carrillogolden@avenetro.com,AAA,AA,No,53,215,259292,DD,0
221,3386,23,Middleton Beard,male,PATHWAYS,middletonbeard@pathways.com,DDDD,AB,Yes,18,210,174580,DD,0
222,3427,35,Ramirez Pitts,male,FIBEROX,ramirezpitts@fiberox.com,AAA,AB,No,40,265,269251,DD,0
223,1695,53,Kirkland Miles,male,PORTALINE,kirklandmiles@portaline.com,CCC,AB,No,17,266,120935,Card,1
224,1274,28,Nicholson Gregory,male,GUSHKOOL,nicholsongregory@gushkool.com,AAA,AB,Yes,29,175,286902,DD,0
225,1032,53,Gonzalez Osborne,male,NAMEBOX,gonzalezosborne@namebox.com,CCC,AC,No,29,213,79923,DD,1
226,1707,24,Sims Mathis,male,QABOOS,simsmathis@qaboos.com,DDDD,AB,No,58,273,246332,Card,1
227,2763,38,Charlene Bender,female,KNOWLYSIS,charlenebender@knowlysis.com,AAA,AD,No,39,85,268067,DD,1
228,1885,56,Crystal Woods,female,EVENTIX,crystalwoods@eventix.com,CCC,AB,Yes,17,114,31827,Card,1
229,3485,47,Rebekah Booker,female,BUZZNESS,rebekahbooker@buzzness.com,DDDD,AB,Yes,22,83,55217,Card,0
